id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
17878,"Very Nice 2Br in Copacabana w. balcony, fast WiFi",68997,Matthias,,Copacabana,-22.96599,-43.1794,Entire home/apt,350,5,267,2021-12-03,1.92,1,257,10,
24480,"Nice and cozy near Ipanema Beach, w/ home office",99249,Goya,,Ipanema,-22.98405,-43.20189,Entire home/apt,296,3,85,2018-02-14,0.62,1,107,0,
25026,Beautiful Modern Decorated Studio in Copa,102840,Viviane,,Copacabana,-22.97735,-43.19105,Entire home/apt,387,3,238,2020-02-15,1.69,1,206,0,
35636,Cosy flat close to Ipanema beach,153232,Patricia,,Ipanema,-22.98839,-43.19232,Entire home/apt,172,2,181,2020-03-15,1.82,1,207,0,
35764,COPACABANA SEA BREEZE  -  RIO - 20 X Superhost,153691,Patricia Miranda & Paulo,,Copacabana,-22.98107,-43.19136,Entire home/apt,260,3,378,2021-12-05,2.76,1,58,32,
48305,Bright 6bed Penthouse Seconds from Beach,70933,Goitaca,,Ipanema,-22.98591,-43.20302,Entire home/apt,4217,2,91,2021-12-06,0.69,9,325,17,
48726,Rio de Janeiro Copacabana Ipanema,221941,Vana,,Copacabana,-22.98528,-43.19264,Private room,114,3,42,2019-08-08,0.83,2,26,0,
48901,Confortable 4BD 3.5BT Atlantic avenue,222884,Marcio,,Copacabana,-22.96574,-43.17514,Entire home/apt,2015,2,8,2021-12-10,0.10,2,5,4,
49179,Djalma Ocean View Studio with Amazing Views #100A,224192,David,,Copacabana,-22.9791,-43.19008,Entire home/apt,380,3,106,2021-12-19,0.96,36,161,18,
50294,Ipanema Beach Block Suites Just Seconds from the Beach,70933,Goitaca,,Ipanema,-22.98584,-43.20305,Entire home/apt,2310,2,74,2021-07-07,0.58,9,330,1,
50759,Casanova Residence great for shoots and events,393296342,Alex,,Barra da Tijuca,-23.00451,-43.30873,Entire home/apt,3050,1,7,2017-01-08,0.09,2,354,0,
51703,"Ocean view, block of the beach, Copacabana,Ipanema",238091,Dália,,Copacabana,-22.98234,-43.19164,Entire home/apt,693,3,188,2021-12-21,1.65,2,321,26,
53533,4BD JOATINGA-CASA LINDA w/POOL!  WALK TO BEACH🌺🌺🌺,249439,Sherri & Andre,,Joá,-23.00809,-43.29113,Entire home/apt,2513,2,16,2021-11-15,0.13,1,346,3,
64795,Ipanema amazing 3 BDRs apartment.,93005,Andrea,,Ipanema,-22.98169,-43.2028,Entire home/apt,1157,3,28,2021-11-02,0.21,1,58,16,
65546,"Beach Block 3bed Penthouse, Ipanema Best Location",70933,Goitaca,,Ipanema,-22.98599,-43.20299,Entire home/apt,3325,2,67,2021-08-14,0.51,9,331,4,
66574,Beach apart in Rio (jan. 2022),326301,Frederic,,Flamengo,-22.92837,-43.17473,Entire home/apt,220,4,1,2016-08-24,0.02,1,321,0,
66797,Studio Apart  for rent in ipanema.,328096,Carlos,,Copacabana,-22.9824,-43.19593,Entire home/apt,380,3,226,2021-12-08,1.72,2,231,23,
68422,Copacabana Beach Living+AirConWiFi,339264,David,,Copacabana,-22.98553,-43.18964,Private room,221,4,79,2017-11-22,0.59,1,77,0,
70080,Apart-hotel in Ipanema with service and garage,319672,Valeria,,Ipanema,-22.9854,-43.19602,Entire home/apt,786,2,422,2021-12-23,3.48,6,220,50,
72900,IPANEMA-Steps2BEACH!,379211,Lc,,Ipanema,-22.98467,-43.19941,Entire home/apt,851,5,14,2020-01-05,0.13,1,210,0,
76245,Spacious Home Heart of Rio290m4QT. Discount10%week,406651,Diogo,,Copacabana,-22.98192,-43.19397,Entire home/apt,3149,2,127,2021-11-15,1.00,1,221,2,
76300,"GREAT VIEW -Guesthouse ""CASA 48""- Santa Teresa  #1",406989,Casa 48 Guesthouse,,Santa Teresa,-22.92742,-43.19464,Private room,225,7,215,2021-03-16,1.79,6,269,2,
77318,❤Unique RIO | retreat w/ forest view in hot spot,110002,Silvia,,Gávea,-22.97766,-43.2311,Entire home/apt,373,5,37,2021-04-30,0.34,1,0,2,
80145,Stay in a small imperial castle !,432777,Andreas,,Santa Teresa,-22.92456,-43.19028,Private room,243,2,14,2019-10-06,0.13,2,360,0,
86670,FRONTEIRA LEBLON/IPANEMA - VISTA FANTÁSTICA,474221,June,,Leblon,-22.98361,-43.21827,Entire home/apt,690,2,92,2021-12-11,0.73,6,34,11,
86864,Apartamento Moderno e confortavel,476162,Simone,,Copacabana,-22.98174,-43.19039,Entire home/apt,500,5,7,2021-12-14,1.54,4,288,7,
86978,Room For a Rent : Rio de Janeiro,476838,Antonio,,Jacarepaguá,-22.97293,-43.38321,Private room,851,1,0,,,1,365,0,
87762,Apartamento a 1 quadra da praia de Ipanema/Leblon,480527,Pablo,,Ipanema,-22.98339,-43.21436,Entire home/apt,293,2,32,2021-11-29,0.61,1,45,17,
88528,COPACABANA - Lindo apartamento na quadra da praia,474221,June,,Copacabana,-22.97794,-43.18969,Entire home/apt,460,2,71,2021-12-02,0.57,6,279,6,
88781,COPACABANA - ÓTIMA LOCALIZAÇÃO,474221,June,,Copacabana,-22.97456,-43.18807,Entire home/apt,460,2,62,2021-11-30,0.57,6,222,15,
89862,COPACABANA - No melhor lugar,474221,June,,Copacabana,-22.97607,-43.18926,Entire home/apt,448,2,47,2021-11-29,0.43,6,175,2,
89893,Exotic place in Rio de Janeiro.,483023,Geny,,Laranjeiras,-22.94124,-43.19214,Private room,511,1,0,,,1,365,0,
89981,IPANEMA  QUARTO + BANHEIRO PRIVADO,488707,Celia,,Ipanema,-22.98088,-43.20042,Private room,227,3,167,2020-02-27,1.38,1,240,0,
94895,Quarto em Copacabana - temporada,506187,Sheila,,Copacabana,-22.97256,-43.18948,Private room,163,1,7,2020-02-25,0.10,3,326,0,
96431,Amazing ocean view !,511850,Marina E Ernani,,Barra da Tijuca,-23.01124,-43.37081,Entire home/apt,523,4,51,2021-04-05,0.48,2,280,2,
96478,APARTAMENT IN BOTAFOGO  BEAUTIFULL,530471,Hugo,,Botafogo,-22.94656,-43.18176,Private room,170,4,0,,,3,334,0,
97636,Rio de Janeiro for you! Go for it!,496656,Marcia  Longras,,Botafogo,-22.94169,-43.18703,Private room,192,8,17,2019-10-07,0.14,7,365,0,
99547,Lapa Archs | Santa Teresa best studio for 2 people,524101,Fabiana,,Centro,-22.91408,-43.18233,Entire home/apt,190,4,61,2021-03-11,0.57,2,162,1,
99971,Right in front of the beach in Rio!,525976,Ricardo,,Leblon,-22.98812,-43.22897,Entire home/apt,1065,3,112,2021-12-20,0.89,1,307,5,
101182,APARTAMENT IN FRONT OF THE BEACH,530471,Hugo,,Botafogo,-22.94837,-43.18315,Entire home/apt,200,4,0,,,3,350,0,
103053,santa teresa bairro fatima lapa,533278,Kaka,,Santo Cristo,-22.90559,-43.20979,Private room,397,1,0,,,1,365,0,
106372,Reveillon & Natal na Barra da Tijuca. Rj,551316,Katia,,Barra da Tijuca,-23.00744,-43.43045,Entire home/apt,800,4,7,2020-02-26,0.11,1,357,0,
